Q,max_south_extent,avg_landfalling_minomega
0.7998197558875606,-71.39795918367346,-1.4918282276126587
0.7998197558875606,-70.95918367346938,-1.4918282276126587
0.7998197558875606,-70.5204081632653,-1.4918282276126587
0.7998197558875606,-70.08163265306122,-1.4918282276126587
0.7998197558875606,-69.64285714285714,-1.4918282276126587
0.7998197558875606,-69.20408163265306,-1.4918282276126587
0.7998197558875606,-68.76530612244898,-1.4918282276126587
0.7998197558875606,-68.3265306122449,-1.4918282276126587
0.7998197558875606,-67.88775510204081,-1.4918282276126587
0.7998197558875606,-67.44897959183673,-1.4918282276126587
0.7998197558875606,-67.01020408163265,-1.4918282276126587
1660488742603961.5,-66.57142857142857,-1.4918282276126587
1660488742603961.5,-66.13265306122449,-1.4918282276126587
1660488742603961.5,-65.6938775510204,-1.4918282276126587
1660488742603961.5,-65.25510204081633,-1.4918282276126587
1660488742603961.5,-64.81632653061224,-1.4918282276126587
1660488742603961.5,-64.37755102040816,-1.4918282276126587
1660488742603961.5,-63.93877551020408,-1.4918282276126587
1660488742603961.5,-63.5,-1.4918282276126587
0.8126587585814146,-85,-1.4560860100725812
0.7998197558875606,-84.56122448979592,-1.4560860100725812
0.7998197558875606,-84.12244897959184,-1.4560860100725812
0.7998197558875606,-83.68367346938776,-1.4560860100725812
0.7998197558875606,-83.24489795918367,-1.4560860100725812
0.7998197558875606,-82.8061224489796,-1.4560860100725812
