Q,cumulative_landfalling_area,max_south_extent
2.21270314566539,3593282.1428571427,-81.92857142857143
2.21270314566539,3742994.8571428573,-81.92857142857143
2.21270314566539,3892707.5714285714,-81.92857142857143
2.21270314566539,4042420.285714286,-81.92857142857143
2.21270314566539,4192133,-81.92857142857143
2.21270314566539,4341845.714285715,-81.92857142857143
2.21270314566539,4491558.428571429,-81.92857142857143
2.21270314566539,4641271.142857143,-81.92857142857143
2.21270314566539,4790983.857142857,-81.92857142857143
2.21270314566539,4940696.571428572,-81.92857142857143
2.21270314566539,5090409.285714285,-81.92857142857143
2.21270314566539,5240122,-81.92857142857143
2.21270314566539,5389834.714285715,-81.92857142857143
2.21270314566539,5539547.428571429,-81.92857142857143
2.21270314566539,5689260.142857143,-81.92857142857143
2.21270314566539,5838972.857142857,-81.92857142857143
2.21270314566539,5988685.571428572,-81.92857142857143
2.21270314566539,6138398.285714285,-81.92857142857143
2.21270314566539,6288111,-81.92857142857143
2.21270314566539,6437823.714285715,-81.92857142857143
2.21270314566539,6587536.428571429,-81.92857142857143
2.21270314566539,6737249.142857143,-81.92857142857143
2.21270314566539,6886961.857142857,-81.92857142857143
2.21270314566539,7036674.571428572,-81.92857142857143
2.21270314566539,7186387.285714285,-81.92857142857143
2.21270314566539,7336100,-81.92857142857143
0.014026515148983922,177,-81.48979591836735
0.3735091282374574,149889.7142857143,-81.48979591836735
0.4972265935216641,299602.4285714286,-81.48979591836735
0.6742511213205741,449315.14285714284,-81.48979591836735
0.6742511213205741,599027.8571428572,-81.48979591836735
0.726235703291866,748740.5714285715,-81.48979591836735
0.726235703291866,898453.2857142857,-81.48979591836735
0.726235703291866,1048166,-81.48979591836735
