cluster,is_landfalling,max_area,mean_area,mean_landfalling_area,cumulative_landfalling_area,duration,start_date,end_date,max_south_extent,max_T2m_ais,avg_V10m_ais,max_V10m_ais,avg_IWV_ais,max_IWV_ais,avg_IWV,max_IWV,min_ocean_SLP,max_ocean_SLP_gradient,max_T2M_anomaly_ais,avg_vIVT_ais,max_vIVT_ais,avg_vIVT,max_vIVT,cumulative_rainfall_ais,cumulative_snowfall_ais,max_landfalling_v850hPa,avg_landfalling_v850hPa
495.0,True,1261081.6657817992,1071894.844883488,64820.045021079815,81025.05627634977,39.0,1982-08-01 18:00:00,1982-08-03 06:00:00,-75.5,274.8072509765625,7.2052867451791265,21.4960880279541,6.873591988833908,10.557957649230957,12.772957274356909,28.023204803466797,94263.890625,5.988701870785561,19.239273071289062,150.5059446588896,308.5549011230469,327.96312746982983,668.2205200195312,3924665650.4673476,2684309252605.409,45.32109451293945,28.818041789215354
500.0,True,1475006.1399981983,1289869.3086188613,26235.044699967933,32793.805874959915,30.0,1982-08-18 12:00:00,1982-08-19 15:00:00,-77.5,269.284912109375,3.537077560551021,18.355798721313477,4.846409896404636,9.060450553894043,12.938081707872968,18.818262100219727,96921.7109375,4.527628454681657,15.9544677734375,86.90846781596035,135.52151489257812,308.7476246546319,468.92926025390625,0.0,1258593069226.6072,30.637062072753906,22.21560943058964
506.0,True,2368905.4209123407,1835899.0216298124,441198.9940537094,827248.1138507051,45.0,1982-08-22 15:00:00,1982-08-24 09:00:00,-82.0,269.23358154296875,5.263193020603387,20.27533721923828,1.9932070834781421,6.360204219818115,9.600966398896247,28.226612091064453,92037.09375,9.544620179324285,19.8150634765625,39.6849665960888,177.64901733398438,239.59199852823602,689.6696166992188,0.0,8703195390515.517,44.76150131225586,25.994689863901847
507.0,True,1171516.9349712841,1065836.8412320167,66792.33529085826,16698.083822714565,6.0,1982-08-24 18:00:00,1982-08-24 21:00:00,-79.0,268.94622802734375,15.019175590739469,21.79973602294922,4.317967750795518,6.753641605377197,8.43383863190789,14.63217830657959,94215.53125,6.917123499196455,18.03900146484375,97.46598755326963,154.2592010498047,206.89939413982842,331.3200988769531,0.0,930065470205.7369,35.30610275268555,24.89212987730853
509.0,True,1669129.909391145,1496938.0402353464,379136.95396793424,236960.596229959,15.0,1982-09-04 00:00:00,1982-09-04 12:00:00,-77.5,269.04046630859375,6.482142937347997,18.19579315185547,1.6983929346278959,6.192449569702148,7.644150087696673,24.05768394470215,95258.5,5.172665122219675,16.708251953125,30.600150183492595,136.9646453857422,193.51667901973968,575.5028686523438,0.0,3483502017710.6333,40.23210906982422,26.876252010493534
511.0,True,968650.6220494765,912009.1845837998,50348.40628949984,18880.65235856244,12.0,1982-09-05 03:00:00,1982-09-05 12:00:00,-73.5,256.48797607421875,-3.4662415482336337,5.867952823638916,2.7059386970693087,4.393979072570801,10.14473232563277,19.605777740478516,94213.984375,8.403592414182786,7.388580322265625,34.618377713523834,77.91486358642578,213.5085626939733,443.0980529785156,0.0,434391766367.2457,27.794498443603516,18.881905345473804
513.0,True,1572549.5683056936,1307616.8916739775,77186.88400740172,77186.88400740172,24.0,1982-09-08 09:00:00,1982-09-09 06:00:00,-75.5,268.0650939941406,-4.873667503701635,4.186900615692139,3.5838408244193456,8.490108489990234,14.441998284233144,24.595279693603516,96096.640625,7.22694471250868,23.131546020507812,37.92781741429282,117.57727813720703,338.7876185237625,694.502685546875,0.0,2036198557172.1606,38.99851989746094,22.490636627355695
516.0,True,1872847.632029763,1440357.473958932,27952.012016654196,59398.025535390174,51.0,1982-09-13 12:00:00,1982-09-15 12:00:00,-76.0,270.80712890625,4.093069486180552,14.208751678466797,5.796284853183657,11.18708324432373,13.55217481149729,34.57197952270508,97028.2421875,7.91521530792226,14.501983642578125,117.21280804084157,233.02093505859375,279.9411460515979,691.3992919921875,0.0,985994054332.6418,27.845897674560547,18.40900143010485
522.0,True,1560451.999845691,1237038.1387929374,955568.6402148673,477784.32010743365,12.0,1982-09-26 06:00:00,1982-09-26 15:00:00,-85.0,273.0453186035156,11.068973610401335,21.790279388427734,3.8415672282800495,12.145706176757812,5.468131257183455,14.574847221374512,95118.5078125,3.322421590244157,31.7921142578125,73.00348249417675,211.8600311279297,105.48695169718917,286.9573059082031,26.469484455288164,7784011902544.355,27.42177391052246,20.621912091800073
524.0,True,2125140.2389707966,1579598.6631566118,29552.53266191676,70187.26507205232,57.0,1982-10-06 18:00:00,1982-10-09 00:00:00,-77.0,267.3209533691406,3.6384113171514163,15.374157905578613,5.810007508580406,7.895874500274658,17.04748200945629,31.957374572753906,96523.953125,5.811944837010328,10.415298461914062,89.85437084902708,138.86627197265625,360.30953433132026,869.4239501953125,0.0,1548708912077.0176,26.431875228881836,19.76397796646747
528.0,True,993862.0045705659,880028.4941977471,1836.3500978837585,1147.7188111773492,18.0,1982-10-17 03:00:00,1982-10-17 18:00:00,-67.0,267.4437561035156,-0.5937864771165317,1.9770147800445557,4.470566751905476,6.925699710845947,19.507078987136058,29.542566299438477,96516.765625,4.9653513606392705,6.60308837890625,57.54370275833403,91.11082458496094,379.325475657109,538.0518188476562,0.0,125881891885.65637,25.94601058959961,16.826881917459822
529.0,True,1542179.2129508296,1265616.988180013,49298.843869504766,55461.19935319285,27.0,1982-10-21 09:00:00,1982-10-22 09:00:00,-75.5,260.891845703125,-2.974444174461408,2.7012104988098145,2.7497319375697344,5.951772212982178,12.045386153512014,21.965917587280273,96853.546875,4.476571736783798,8.71026611328125,24.675696999923492,52.368309020996094,243.15818084025346,412.911376953125,0.0,563672484782.6847,31.605674743652344,21.507580266641945
531.0,True,1596379.442483666,1434555.8373372017,61536.965819825826,76921.20727478228,30.0,1982-10-23 15:00:00,1982-10-24 18:00:00,-71.0,266.1962585449219,-10.915466695736423,-0.0,4.729470529651323,10.633133888244629,19.145187050876334,35.216224670410156,96328.3515625,7.206439875016201,12.46343994140625,51.34010763508869,159.0799560546875,441.8378015045,995.3036499023438,0.0,2075061359333.7847,30.19028663635254,18.3736628188793
534.0,True,1404617.9001879261,895637.978338708,393584.1064835463,295188.07986265974,24.0,1982-10-26 09:00:00,1982-10-27 06:00:00,-76.0,271.9773864746094,2.2141059376696894,12.759746551513672,3.3579890974334217,8.702335357666016,8.504778535950171,18.298690795898438,97052.6640625,3.9035048223049307,22.35955810546875,46.79069487304125,164.99639892578125,189.6460899002142,377.16094970703125,0.0,8147954163719.246,26.893592834472656,20.769897472251582
537.0,True,954344.4745290161,920733.5514911588,485187.2205980703,181945.20772427638,9.0,1982-10-30 18:00:00,1982-10-31 00:00:00,-85.0,272.82421875,6.838763034148731,18.1627140045166,4.258012506169018,11.108500480651855,8.336987731039853,17.525165557861328,96098.4921875,3.9748660618813485,16.483779907226562,89.75422781328577,257.55548095703125,159.07812360531614,302.1643981933594,3155031.6924811304,6181607096208.045,21.27068519592285,16.773724766583396
538.0,True,3175503.1228445293,2268786.348309089,437464.41706660617,765562.7298665609,42.0,1982-11-02 03:00:00,1982-11-03 18:00:00,-85.0,270.0364990234375,-6.921641399015341,13.802803039550781,2.9551870118868164,12.988435745239258,16.477672163312967,32.58252716064453,96907.921875,6.164016056844111,9.407119750976562,29.59050024004273,219.7651824951172,361.63585348706266,804.7932739257812,208288529.9398444,10159083890687.775,31.522663116455078,21.828990153647187
541.0,True,1366363.806603445,1366363.806603445,1193557.0772244742,149194.63465305927,3.0,1982-11-04 18:00:00,1982-11-04 18:00:00,-85.0,266.4731750488281,6.575500699519861,16.08635139465332,1.2244560742623705,10.163576126098633,2.3693617909758196,12.819826126098633,97972.546875,6.057526621904151,7.6094818115234375,15.638590447602484,146.51171875,31.337445475468872,176.57870483398438,26900458506.436546,890406162425.7793,18.020610809326172,14.586137616964182
542.0,True,1266893.0762933525,1225899.8975990147,224128.0521676575,56032.013041914375,6.0,1982-11-05 00:00:00,1982-11-05 03:00:00,-73.0,269.55987548828125,1.9844513476452084,9.307308197021484,3.959459178336737,11.891716957092285,12.876030661689981,20.17385482788086,97065.703125,5.313601623596617,7.13818359375,51.38489132407411,128.2288818359375,225.0248441378248,427.6929626464844,45678687179.46722,995420498331.8196,23.899795532226562,17.82228962200851
544.0,True,1752271.1630081402,1579484.5933688183,154672.5296656433,212674.72829025952,33.0,1982-11-07 06:00:00,1982-11-08 12:00:00,-82.5,270.2001953125,4.979711141523428,21.58451271057129,5.215695639972091,12.50040340423584,15.194563187032548,24.726116180419922,93413.640625,7.535800467377015,7.49310302734375,107.23150724920924,242.1558837890625,340.26723550499645,618.2696533203125,0.0,5247465399892.266,33.95378875732422,19.919668670106798
545.0,True,1137677.3125240717,1132769.3422140437,321066.1574467541,120399.80904253278,9.0,1982-11-09 06:00:00,1982-11-09 12:00:00,-79.5,271.739990234375,1.2272688892737316,8.845540046691895,3.5784946249326457,10.022472381591797,11.826058253123213,23.653657913208008,97289.953125,4.661662615205266,14.72711181640625,46.418576330628916,151.10707092285156,197.53343903341548,418.1802062988281,1250037.8987364213,2511323961401.7715,23.544645309448242,15.658650777929605
551.0,True,1671680.5092566255,1386095.7798010274,538.7533795237289,1077.5067590474578,48.0,1982-11-17 09:00:00,1982-11-19 06:00:00,-68.5,272.74713134765625,5.903098662694295,6.83223819732666,14.188275337219238,15.049802780151367,22.15767824688511,41.013916015625,98509.3984375,4.500540053092472,2.91375732421875,196.15740076700848,241.17987060546875,387.7493579702695,779.6021728515625,340616499.68868434,25217808067.96994,30.414722442626953,19.112460415979843
559.0,True,1248931.5330337319,1098194.615214571,20656.569435844624,23238.640615325206,27.0,1982-11-30 18:00:00,1982-12-01 18:00:00,-72.5,268.54498291015625,-6.213263828853288,0.7633273601531982,4.8066322148684915,10.95068359375,22.332660809675488,43.936790466308594,97291.28125,6.26804231873032,0.218353271484375,51.0352731294752,96.62152099609375,566.7688347921153,997.9791259765625,73295427.76287328,2196182840960.808,42.59186935424805,24.74727544648764
563.0,True,1138526.0804780624,1126445.36932141,325552.43521735433,81388.10880433858,6.0,1982-12-09 12:00:00,1982-12-09 15:00:00,-75.5,272.96246337890625,2.692695228155133,11.395698547363281,4.05025568679882,10.53958797454834,9.93298751444987,17.53412437438965,96545.0546875,7.901491565457083,6.0353240966796875,51.07313855638397,183.0712127685547,179.79522381349167,356.0813903808594,0.0,4734320878748.421,26.696184158325195,18.907768511167287
