Label,max_area,mean_landfalling_area,cumulative_landfalling_area,duration,max_south_extent,region,max_T2M_anomaly_ais,max_IWV_ais,max_IWV_anomaly_ais,max_ocean_SLP_gradient,cumulative_rainfall_ais,cumulative_snowfall_ais,avg_landfalling_minomega,max_landfalling_v850hPa,max_vIVT_ais
1980_40,1104891,49367,30854,15,-71.0,East 2,6.1884307861328125,7.5185699462890625,5.017493724822998,6.834519949911437,0.0,0.08467645845872154,-0.717532445492587,30.22888946533203,111.24861907958984
1980_41,1887185,140136,315307,54,-82.5,West,24.531997680664062,8.733983993530273,5.963065147399902,5.521808074622664,0.0,0.7625316769206508,-0.9033732414245618,32.747283935546875,208.07843017578125
1980_42,1662827,155696,214082,33,-78.5,East 1,16.29608154296875,6.9163970947265625,4.479211807250977,6.288757196602484,0.0,0.3163394023486458,-0.5220574314709804,32.58406066894531,114.80010986328124
1980_44,2173057,1827642,1142276,15,-85.0,East 2,36.913177490234375,11.116518020629885,8.024337768554688,5.362430762600591,0.0,1.194621308538134,-0.5979561895030365,22.327844619750977,250.14486694335935
1980_45,1177213,525154,328221,15,-85.0,West,21.653564453125,11.221964836120604,8.018153190612793,5.789668665433982,0.0,0.9560300928909469,-0.9025509827629092,32.743934631347656,370.31689453125
1980_46,1176569,84230,63172,18,-71.5,East 1,12.145599365234377,6.278126239776611,4.002066612243652,4.816713783782751,0.0,0.17773591917861276,-0.5432717436179751,32.95512390136719,148.40151977539062
1980_47,2323296,274936,481138,42,-85.0,East 2,34.85942077636719,9.827241897583008,7.59140682220459,6.367355700726027,0.0,0.3950002325739225,-0.874840124487806,27.16132164001465,183.360595703125
1980_49,2010860,198367,198367,24,-77.0,East 1,16.6204833984375,5.845089912414551,3.647067070007324,7.639837735223576,0.0,0.3978320274056481,-0.91347473859787,30.007299423217773,131.77911376953125
1980_50,1773352,857842,1393993,39,-85.0,East 1,25.923660278320312,6.897615432739258,4.605375289916992,5.583737503457913,0.0,0.8991868086463568,-0.3461312055587768,33.78151321411133,194.4185485839844
1980_51,1694634,903863,451931,12,-85.0,West,16.047271728515625,9.407631874084473,5.596042633056641,8.944592968960292,0.0,0.9571223374030368,-0.6460520066299458,32.75556945800781,226.0437469482422
