date	expver	temp2m	ewvf	swvf	latitude	longitude
2000-04-11	1		2.8476114	-1.9615092	-75.0	123.0
2000-04-11	5		2.8476114	-1.9615092	-75.0	123.0
2000-04-12	1		1.7211707	-2.076593	-75.0	123.0
2000-04-12	5		1.7211707	-2.076593	-75.0	123.0
2000-04-13	1		1.7173231	-2.826435	-75.0	123.0
2000-04-13	5		1.7173231	-2.826435	-75.0	123.0
2000-04-14	1		1.2873323	-4.2119355	-75.0	123.0
2000-04-14	5		1.2873323	-4.2119355	-75.0	123.0
2000-04-15	1		3.5248225	-4.1229253	-75.0	123.0
2000-04-15	5		3.5248225	-4.1229253	-75.0	123.0
2000-04-16	1		3.6720002	-3.0934653	-75.0	123.0
2000-04-16	5		3.6720002	-3.0934653	-75.0	123.0
2000-04-17	1		4.9436946	-3.5807729	-75.0	123.0
2000-04-17	5		4.9436946	-3.5807729	-75.0	123.0
2000-04-18	1		4.1414304	-2.999061	-75.0	123.0
2000-04-18	5		4.1414304	-2.999061	-75.0	123.0
2000-04-19	1		2.2367747	-3.1015573	-75.0	123.0
2000-04-19	5		2.2367747	-3.1015573	-75.0	123.0
2000-04-20	1		2.0761294	-2.6493144	-75.0	123.0
2000-04-20	5		2.0761294	-2.6493144	-75.0	123.0
2000-04-21	1		1.1507359	-2.2474203	-75.0	123.0
2000-04-21	5		1.1507359	-2.2474203	-75.0	123.0
2000-04-22	1		0.51585037	-1.8850865	-75.0	123.0
2000-04-22	5		0.51585037	-1.8850865	-75.0	123.0
2000-04-23	1		1.0882092	-1.1810975	-75.0	123.0
2000-04-23	5		1.0882092	-1.1810975	-75.0	123.0
2000-04-24	1		1.6528726	-1.232346	-75.0	123.0
2000-04-24	5		1.6528726	-1.232346	-75.0	123.0
2000-04-25	1		1.2777128	0.07493305	-75.0	123.0
2000-04-25	5		1.2777128	0.07493305	-75.0	123.0
2000-04-26	1		-0.6596495	-0.012278557	-75.0	123.0
2000-04-26	5		-0.6596495	-0.012278557	-75.0	123.0
2000-04-27	1		-0.8770496	-0.9023795	-75.0	123.0
2000-04-27	5		-0.8770496	-0.9023795	-75.0	123.0
2000-04-28	1		-2.7509234	-0.7432399	-75.0	123.0
2000-04-28	5		-2.7509234	-0.7432399	-75.0	123.0
2000-04-29	1		-1.767813	0.4651389	-75.0	123.0
2000-04-29	5		-1.767813	0.4651389	-75.0	123.0
2000-04-30	1		-1.3811102	1.0162821	-75.0	123.0
2000-04-30	5		-1.3811102	1.0162821	-75.0	123.0
2000-05-01	1		2.268519	1.9944937	-75.0	123.0
2000-05-01	5		2.268519	1.9944937	-75.0	123.0
2000-05-02	1		3.8451507	1.0180802	-75.0	123.0
2000-05-02	5		3.8451507	1.0180802	-75.0	123.0
2000-05-03	1		4.9100266	0.87872124	-75.0	123.0
2000-05-03	5		4.9100266	0.87872124	-75.0	123.0
2000-05-04	1		1.219034	-1.0426378	-75.0	123.0
2000-05-04	5		1.219034	-1.0426378	-75.0	123.0
2000-05-05	1		-2.4238613	0.052455902	-75.0	123.0
2000-05-05	5		-2.4238613	0.052455902	-75.0	123.0
2000-05-06	1		-1.7639654	-0.05543518	-75.0	123.0
2000-05-06	5		-1.7639654	-0.05543518	-75.0	123.0
2000-05-07	1		0.03968638	0.17293406	-75.0	123.0
2000-05-07	5		0.03968638	0.17293406	-75.0	123.0
2000-05-08	1		0.63897973	0.14146614	-75.0	123.0
2000-05-08	5		0.63897973	0.14146614	-75.0	123.0
2000-05-09	1		0.33500427	0.19001675	-75.0	123.0
2000-05-09	5		0.33500427	0.19001675	-75.0	123.0
2000-05-10	1		0.0752784	-0.2900982	-75.0	123.0
2000-05-10	5		0.0752784	-0.2900982	-75.0	123.0
2000-05-11	1		-0.63656276	1.5458469	-75.0	123.0
2000-05-11	5		-0.63656276	1.5458469	-75.0	123.0
2000-05-12	1		-0.32873955	1.8128772	-75.0	123.0
2000-05-12	5		-0.32873955	1.8128772	-75.0	123.0
2000-05-13	1		0.32923263	1.9540346	-75.0	123.0
2000-05-13	5		0.32923263	1.9540346	-75.0	123.0
2000-05-14	1		0.40041667	5.153901	-75.0	123.0
2000-05-14	5		0.40041667	5.153901	-75.0	123.0
2000-05-15	1		0.2041794	1.8839054	-75.0	123.0
2000-05-15	5		0.2041794	1.8839054	-75.0	123.0
2000-05-16	1		-1.0367329	0.2655406	-75.0	123.0
2000-05-16	5		-1.0367329	0.2655406	-75.0	123.0
2000-05-17	1		0.25804847	2.7263541	-75.0	123.0
2000-05-17	5		0.25804847	2.7263541	-75.0	123.0
2000-05-18	1		0.28498298	3.4734993	-75.0	123.0
2000-05-18	5		0.28498298	3.4734993	-75.0	123.0
2000-05-19	1		-2.6595385	2.4341495	-75.0	123.0
2000-05-19	5		-2.6595385	2.4341495	-75.0	123.0
2000-05-20	1		-2.2026134	3.2918828	-75.0	123.0
2000-05-20	5		-2.2026134	3.2918828	-75.0	123.0
2000-05-21	1		-0.7952841	0.436368	-75.0	123.0
2000-05-21	5		-0.7952841	0.436368	-75.0	123.0
2000-05-22	1		-0.49323258	-0.050040722	-75.0	123.0
2000-05-22	5		-0.49323258	-0.050040722	-75.0	123.0
2000-05-23	1		1.5085804	-0.09049988	-75.0	123.0
2000-05-23	5		1.5085804	-0.09049988	-75.0	123.0
2000-05-24	1		0.87561876	-0.05633402	-75.0	123.0
2000-05-24	5		0.87561876	-0.05633402	-75.0	123.0
2000-05-25	1		0.8833143	-1.6773963	-75.0	123.0
2000-05-25	5		0.8833143	-1.6773963	-75.0	123.0
2000-05-26	1		-0.48938477	-1.6108632	-75.0	123.0
2000-05-26	5		-0.48938477	-1.6108632	-75.0	123.0
2000-05-27	1		-1.0078745	-0.40608072	-75.0	123.0
2000-05-27	5		-1.0078745	-0.40608072	-75.0	123.0
2000-05-28	1		1.4133475	-0.07341671	-75.0	123.0
2000-05-28	5		1.4133475	-0.07341671	-75.0	123.0
2000-05-29	1		11.166533	-0.25323534	-75.0	123.0
2000-05-29	5		11.166533	-0.25323534	-75.0	123.0
2000-05-30	1		14.592991	5.560291	-75.0	123.0
2000-05-30	5		14.592991	5.560291	-75.0	123.0
2000-05-31	1		3.1217663	-0.7765064	-75.0	123.0
2000-05-31	5		3.1217663	-0.7765064	-75.0	123.0
2000-06-01	1		1.8481479	-1.5811934	-75.0	123.0
2000-06-01	5		1.8481479	-1.5811934	-75.0	123.0
2000-06-02	1		0.09355545	0.15495253	-75.0	123.0
2000-06-02	5		0.09355545	0.15495253	-75.0	123.0
2000-06-03	1		-1.8120627	0.771729	-75.0	123.0
2000-06-03	5		-1.8120627	0.771729	-75.0	123.0
2000-06-04	1		-2.062169	-0.29908895	-75.0	123.0
2000-06-04	5		-2.062169	-0.29908895	-75.0	123.0
2000-06-05	1		-2.612403	0.9920068	-75.0	123.0
2000-06-05	5		-2.612403	0.9920068	-75.0	123.0
2000-06-06	1		-3.7792454	1.0225759	-75.0	123.0
2000-06-06	5		-3.7792454	1.0225759	-75.0	123.0
2000-06-07	1		-3.3858087	-1.8832884	-75.0	123.0
2000-06-07	5		-3.3858087	-1.8832884	-75.0	123.0
2000-06-08	1		4.74361	-1.9803901	-75.0	123.0
2000-06-08	5		4.74361	-1.9803901	-75.0	123.0
2000-06-09	1		5.781551	0.91378546	-75.0	123.0
2000-06-09	5		5.781551	0.91378546	-75.0	123.0
2000-06-10	1		-0.38934225	-0.4294572	-75.0	123.0
2000-06-10	5		-0.38934225	-0.4294572	-75.0	123.0
2000-06-11	1		0.47641057	0.54066277	-75.0	123.0
2000-06-11	5		0.47641057	0.54066277	-75.0	123.0
2000-06-12	1		2.857231	2.1014855	-75.0	123.0
2000-06-12	5		2.857231	2.1014855	-75.0	123.0
2000-06-13	1		3.8528464	0.38242245	-75.0	123.0
2000-06-13	5		3.8528464	0.38242245	-75.0	123.0
2000-06-14	1		1.9116364	-2.1314373	-75.0	123.0
2000-06-14	5		1.9116364	-2.1314373	-75.0	123.0
2000-06-15	1		-0.00841099	-1.1900887	-75.0	123.0
2000-06-15	5		-0.00841099	-1.1900887	-75.0	123.0
2000-06-16	1		-0.09594822	-0.44114542	-75.0	123.0
2000-06-16	5		-0.09594822	-0.44114542	-75.0	123.0
2000-06-17	1		0.25708652	-0.3143735	-75.0	123.0
2000-06-17	5		0.25708652	-0.3143735	-75.0	123.0
2000-06-18	1		0.64090353	-1.0039768	-75.0	123.0
2000-06-18	5		0.64090353	-1.0039768	-75.0	123.0
2000-06-19	1		0.5081548	-1.312365	-75.0	123.0
2000-06-19	5		0.5081548	-1.312365	-75.0	123.0
2000-06-20	1		-0.15655094	0.72497654	-75.0	123.0
2000-06-20	5		-0.15655094	0.72497654	-75.0	123.0
2000-06-21	1		2.526321	1.9908972	-75.0	123.0
2000-06-21	5		2.526321	1.9908972	-75.0	123.0
2000-06-22	1		2.5118916	4.460702	-75.0	123.0
2000-06-22	5		2.5118916	4.460702	-75.0	123.0
2000-06-23	1		8.237404	3.9599078	-75.0	123.0
2000-06-23	5		8.237404	3.9599078	-75.0	123.0
2000-06-24	1		7.2918086	-1.647726	-75.0	123.0
2000-06-24	5		7.2918086	-1.647726	-75.0	123.0
2000-06-25	1		3.5661862	-6.5082154	-75.0	123.0
2000-06-25	5		3.5661862	-6.5082154	-75.0	123.0
2000-06-26	1		4.2357016	-1.1568222	-75.0	123.0
2000-06-26	5		4.2357016	-1.1568222	-75.0	123.0
2000-06-27	1		10.424872	1.6717198	-75.0	123.0
2000-06-27	5		10.424872	1.6717198	-75.0	123.0
2000-06-28	1		5.788285	-4.2254214	-75.0	123.0
2000-06-28	5		5.788285	-4.2254214	-75.0	123.0
2000-06-29	1		1.5836122	-2.254613	-75.0	123.0
2000-06-29	5		1.5836122	-2.254613	-75.0	123.0
2000-06-30	1		2.7167864	-1.8239479	-75.0	123.0
2000-06-30	5		2.7167864	-1.8239479	-75.0	123.0
2000-07-01	1		2.7341015	1.0998974	-75.0	123.0
2000-07-01	5		2.7341015	1.0998974	-75.0	123.0
2000-07-02	1		2.3656757	0.7942066	-75.0	123.0
2000-07-02	5		2.3656757	0.7942066	-75.0	123.0
2000-07-03	1		1.180556	-0.14264679	-75.0	123.0
2000-07-03	5		1.180556	-0.14264679	-75.0	123.0
2000-07-04	1		1.4402821	-0.08780241	-75.0	123.0
2000-07-04	5		1.4402821	-0.08780241	-75.0	123.0
2000-07-05	1		3.512317	-0.15883064	-75.0	123.0
2000-07-05	5		3.512317	-0.15883064	-75.0	123.0
2000-07-06	1		3.3054984	10.288612	-75.0	123.0
2000-07-06	5		3.3054984	10.288612	-75.0	123.0
2000-07-07	1		1.8260231	13.537031	-75.0	123.0
2000-07-07	5		1.8260231	13.537031	-75.0	123.0
2000-07-08	1		1.5422485	2.6805005	-75.0	123.0
2000-07-08	5		1.5422485	2.6805005	-75.0	123.0
2000-07-09	1		1.1170676	0.35724783	-75.0	123.0
2000-07-09	5		1.1170676	0.35724783	-75.0	123.0
2000-07-10	1		0.9352595	0.3707342	-75.0	123.0
2000-07-10	5		0.9352595	0.3707342	-75.0	123.0
2000-07-11	1		2.8957088	1.2958994	-75.0	123.0
2000-07-11	5		2.8957088	1.2958994	-75.0	123.0
2000-07-12	1		3.4141986	2.1868992	-75.0	123.0
2000-07-12	5		3.4141986	2.1868992	-75.0	123.0
2000-07-13	1		5.1014543	-0.9752059	-75.0	123.0
2000-07-13	5		5.1014543	-0.9752059	-75.0	123.0
2000-07-14	1		5.310197	-1.4661098	-75.0	123.0
2000-07-14	5		5.310197	-1.4661098	-75.0	123.0
2000-07-15	1		3.0813646	-1.0192614	-75.0	123.0
2000-07-15	5		3.0813646	-1.0192614	-75.0	123.0
2000-07-16	1		2.1790578	-0.44653988	-75.0	123.0
2000-07-16	5		2.1790578	-0.44653988	-75.0	123.0
2000-07-17	1		9.917926	-0.55802727	-75.0	123.0
2000-07-17	5		9.917926	-0.55802727	-75.0	123.0
2000-07-18	1		9.477354	-0.8502321	-75.0	123.0
2000-07-18	5		9.477354	-0.8502321	-75.0	123.0
2000-07-19	1		1.5903459	0.09920883	-75.0	123.0
2000-07-19	5		1.5903459	0.09920883	-75.0	123.0
2000-07-20	1		0.23784757	2.0942929	-75.0	123.0
2000-07-20	5		0.23784757	2.0942929	-75.0	123.0
2000-07-21	1		-2.6903207	3.6146564	-75.0	123.0
2000-07-21	5		-2.6903207	3.6146564	-75.0	123.0
2000-07-22	1		0.12433773	0.7960048	-75.0	123.0
2000-07-22	5		0.12433773	0.7960048	-75.0	123.0
2000-07-23	1		0.010827959	1.1088886	-75.0	123.0
2000-07-23	5		0.010827959	1.1088886	-75.0	123.0
2000-07-24	1		0.63897973	0.7798209	-75.0	123.0
2000-07-24	5		0.63897973	0.7798209	-75.0	123.0
2000-07-25	1		0.57452923	-0.72885466	-75.0	123.0
2000-07-25	5		0.57452923	-0.72885466	-75.0	123.0
2000-07-26	1		-0.09498626	-1.2071714	-75.0	123.0
2000-07-26	5		-0.09498626	-1.2071714	-75.0	123.0
2000-07-27	1		1.3363917	0.733068	-75.0	123.0
2000-07-27	5		1.3363917	0.733068	-75.0	123.0
2000-07-28	1		5.5333686	2.6625187	-75.0	123.0
2000-07-28	5		5.5333686	2.6625187	-75.0	123.0
2000-07-29	1		3.6710384	2.5555267	-75.0	123.0
2000-07-29	5		3.6710384	2.5555267	-75.0	123.0
2000-07-30	1		3.401693	0.23497152	-75.0	123.0
2000-07-30	5		3.401693	0.23497152	-75.0	123.0
2000-07-31	1		2.2040684	0.091116905	-75.0	123.0
2000-07-31	5		2.2040684	0.091116905	-75.0	123.0
2000-08-01	1		0.7351745	-0.19479418	-75.0	123.0
2000-08-01	5		0.7351745	-0.19479418	-75.0	123.0
2000-08-02	1		0.72170717	-0.30718088	-75.0	123.0
2000-08-02	5		0.72170717	-0.30718088	-75.0	123.0
2000-08-03	1		0.016599655	2.4197638	-75.0	123.0
2000-08-03	5		0.016599655	2.4197638	-75.0	123.0
2000-08-04	1		-1.7456882	3.1201563	-75.0	123.0
2000-08-04	5		-1.7456882	3.1201563	-75.0	123.0
2000-08-05	1		0.6360938	2.7515287	-75.0	123.0
2000-08-05	5		0.6360938	2.7515287	-75.0	123.0
2000-08-06	1		1.3864131	0.23137522	-75.0	123.0
2000-08-06	5		1.3864131	0.23137522	-75.0	123.0
2000-08-07	1		3.2670205	-0.26762056	-75.0	123.0
2000-08-07	5		3.2670205	-0.26762056	-75.0	123.0
2000-08-08	1		3.2881832	-1.2898879	-75.0	123.0
2000-08-08	5		3.2881832	-1.2898879	-75.0	123.0
2000-08-09	1		0.61685485	-1.2134652	-75.0	123.0
2000-08-09	5		0.61685485	-1.2134652	-75.0	123.0
2000-08-10	1		2.0597763	-1.4679079	-75.0	123.0
2000-08-10	5		2.0597763	-1.4679079	-75.0	123.0
2000-08-11	1		-0.30661476	-1.8671045	-75.0	123.0
2000-08-11	5		-0.30661476	-1.8671045	-75.0	123.0
2000-08-12	1		0.59280616	-0.42765903	-75.0	123.0
2000-08-12	5		0.59280616	-0.42765903	-75.0	123.0
2000-08-13	1		-0.014182687	0.19541168	-75.0	123.0
2000-08-13	5		-0.014182687	0.19541168	-75.0	123.0
2000-08-14	1		0.73132664	0.14416313	-75.0	123.0
2000-08-14	5		0.73132664	0.14416313	-75.0	123.0
2000-08-15	1		0.7553753	-1.7726998	-75.0	123.0
2000-08-15	5		0.7553753	-1.7726998	-75.0	123.0
2000-08-16	1		2.9842079	-0.9949856	-75.0	123.0
2000-08-16	5		2.9842079	-0.9949856	-75.0	123.0
2000-08-17	1		2.2867959	-0.5040817	-75.0	123.0
2000-08-17	5		2.2867959	-0.5040817	-75.0	123.0
2000-08-18	1		10.269999	1.3732214	-75.0	123.0
2000-08-18	5		10.269999	1.3732214	-75.0	123.0
2000-08-19	1		21.49785	4.6234374	-75.0	123.0
2000-08-19	5		21.49785	4.6234374	-75.0	123.0
2000-08-20	1		16.725628	3.6254458	-75.0	123.0
2000-08-20	5		16.725628	3.6254458	-75.0	123.0
2000-08-21	1		12.712383	3.9455223	-75.0	123.0
2000-08-21	5		12.712383	3.9455223	-75.0	123.0
2000-08-22	1		4.8436522	-0.22716141	-75.0	123.0
2000-08-22	5		4.8436522	-0.22716141	-75.0	123.0
2000-08-23	1		2.9774742	3.2298455	-75.0	123.0
2000-08-23	5		2.9774742	3.2298455	-75.0	123.0
2000-08-24	1		3.9769375	1.8632262	-75.0	123.0
2000-08-24	5		3.9769375	1.8632262	-75.0	123.0
2000-08-25	1		3.8634279	3.4941783	-75.0	123.0
2000-08-25	5		3.8634279	3.4941783	-75.0	123.0
2000-08-26	1		2.3878005	5.5692816	-75.0	123.0
2000-08-26	5		2.3878005	5.5692816	-75.0	123.0
2000-08-27	1		5.5833898	6.3577847	-75.0	123.0
2000-08-27	5		5.5833898	6.3577847	-75.0	123.0
2000-08-28	1		5.2582517	2.528554	-75.0	123.0
2000-08-28	5		5.2582517	2.528554	-75.0	123.0
2000-08-29	1		3.1900647	-0.13005972	-75.0	123.0
2000-08-29	5		3.1900647	-0.13005972	-75.0	123.0
2000-08-30	1		2.0357275	-0.5490365	-75.0	123.0
2000-08-30	5		2.0357275	-0.5490365	-75.0	123.0
2000-08-31	1		-0.6942796	-1.3186588	-75.0	123.0
2000-08-31	5		-0.6942796	-1.3186588	-75.0	123.0
2000-09-01	1		4.915798	3.6263447	-75.0	123.0
2000-09-01	5		4.915798	3.6263447	-75.0	123.0
2000-09-02	1		5.9797125	12.644233	-75.0	123.0
2000-09-02	5		5.9797125	12.644233	-75.0	123.0
2000-09-03	1		11.704263	16.352985	-75.0	123.0
2000-09-03	5		11.704263	16.352985	-75.0	123.0
2000-09-04	1		14.456394	6.0458	-75.0	123.0
2000-09-04	5		14.456394	6.0458	-75.0	123.0
2000-09-05	1		12.180427	0.849051	-75.0	123.0
2000-09-05	5		12.180427	0.849051	-75.0	123.0
2000-09-06	1		14.267853	-2.4793859	-75.0	123.0
2000-09-06	5		14.267853	-2.4793859	-75.0	123.0
2000-09-07	1		13.2712755	-0.86821365	-75.0	123.0
2000-09-07	5		13.2712755	-0.86821365	-75.0	123.0
2000-09-08	1		6.021076	-0.6821017	-75.0	123.0
2000-09-08	5		6.021076	-0.6821017	-75.0	123.0
2000-09-09	1		5.8325343	-0.8843975	-75.0	123.0
2000-09-09	5		5.8325343	-0.8843975	-75.0	123.0
2000-09-10	1		0.9843189	-1.1712079	-75.0	123.0
2000-09-10	5		0.9843189	-1.1712079	-75.0	123.0
2000-09-11	1		0.7120877	0.113594055	-75.0	123.0
2000-09-11	5		0.7120877	0.113594055	-75.0	123.0
2000-09-12	1		-0.09691018	2.468315	-75.0	123.0
2000-09-12	5		-0.09691018	2.468315	-75.0	123.0
2000-09-13	1		3.20257	5.7464027	-75.0	123.0
