cluster,is_landfalling,max_area,mean_area,mean_landfalling_area,cumulative_landfalling_area,duration,start_date,end_date,max_south_extent,max_T2m_ais,avg_V10m_ais,max_V10m_ais,avg_V10m,max_V10m,avg_IWV_ais,max_IWV_ais,avg_IWV,max_IWV,landfalling_SLP,max_T2M_anomaly_ais,avg_vIVT_ais,max_vIVT_ais,avg_vIVT,max_vIVT,cumulative_rainfall_ais,cumulative_snowfall_ais
2791.0,True,1477734.4948554442,1259808.2883756713,553861.8389889806,623094.5688626032,27.0,1995-04-28 12:00:00,1995-04-29 12:00:00,-84.5,273.1356201171875,2.3551803173342796,18.475147247314453,7.484001817981335,18.756397247314453,4.640458516426076,13.881458282470703,10.342709904532557,23.364055633544922,97719.9140625,22.927017211914062,85.64768638208196,360.7862548828125,209.90717048024206,437.68524169921875,7634941480.644957,10952124133855.488
2793.0,True,1921801.1821457671,1641105.9234136613,385712.9859736914,337498.8627269799,21.0,1995-04-30 00:00:00,1995-04-30 18:00:00,-74.5,272.5392761230469,-7.553035241321244,8.947768211364746,6.0257743281125355,17.924331665039062,3.350702874944793,10.494344711303711,15.816147954935294,34.845909118652344,96690.3671875,23.339996337890625,48.5187395829556,204.8566436767578,343.7491122704992,884.0771484375,0.0,6952801666138.398
2801.0,True,2947904.223087083,2439803.427190046,17196.193684796188,23644.766316594756,33.0,1995-05-12 18:00:00,1995-05-14 00:00:00,-71.0,263.800537109375,-11.973543764708957,0.0,12.013038347676503,21.31109046936035,5.8799609149783265,9.562603950500488,23.912893958526862,39.76737976074219,94435.953125,16.633209228515625,62.112108413089246,154.6737518310547,522.0061207158112,1176.51806640625,0.0,2021086229334.867
2804.0,True,1891159.495499255,1564137.1917377238,39143.20917783873,24464.505736149207,15.0,1995-05-17 18:00:00,1995-05-18 06:00:00,-76.0,271.7716369628906,9.847186931108858,16.3364315032959,13.503200987566757,24.094175338745117,6.857646778676952,13.325719833374023,24.21054307682883,36.610877990722656,95546.3984375,14.13323974609375,118.2951124336852,206.0120849609375,493.50573704261143,792.3265991210938,53128829.24162984,1565934486065.8833
2806.0,True,999442.0381916418,883238.0525430195,2510.514889164558,1569.0718057278486,15.0,1995-05-23 03:00:00,1995-05-23 15:00:00,-74.5,262.2662658691406,-7.8735274006646145,6.941892147064209,12.981440632215154,18.871580123901367,7.931664105182292,11.098267555236816,17.975008566982197,28.514692306518555,94448.3671875,3.265167236328125,141.23141411378052,192.96238708496094,377.3586021866141,672.379150390625,0.0,259625022019.78842
2810.0,True,1718798.491652508,1344248.712104047,718784.6813510368,628936.596182157,21.0,1995-06-01 12:00:00,1995-06-02 06:00:00,-82.5,272.1567687988281,0.4904089077821133,19.382110595703125,4.919256618632086,19.382110595703125,5.495202033385327,12.79371452331543,8.65790786291085,16.059782028198242,97017.40625,22.373611450195312,79.19589187995851,230.6365966796875,129.93242620173766,269.4481506347656,334985785.5892035,8719655801419.81
2811.0,True,1439610.8791216759,1043460.4556183013,9002.206271120951,13503.30940668143,36.0,1995-06-03 06:00:00,1995-06-04 15:00:00,-69.5,272.11346435546875,5.945993602763228,13.713245391845703,11.609040740887965,21.522476196289062,9.789249562322773,11.623886108398438,16.528422271892065,35.555397033691406,97074.53125,11.06280517578125,164.59724157534762,262.8647155761719,330.9949189955915,817.8622436523438,2126011.984649555,374639995562.84564
2814.0,True,1490665.5097409496,1210976.8557082633,23065.188105508936,37480.93067145203,45.0,1995-06-11 00:00:00,1995-06-12 18:00:00,-74.5,261.75067138671875,3.6221188181698856,13.927035331726074,15.657353943417405,23.636730194091797,4.711996660991182,6.083779335021973,12.655155256175574,34.45529556274414,95152.1875,13.3377685546875,94.06787159689286,141.2935333251953,328.5406103539523,890.3706665039062,0.0,837846146208.6836
2815.0,True,828878.7402527847,828878.7402527847,9186.945960774578,1148.3682450968222,3.0,1995-06-15 06:00:00,1995-06-15 06:00:00,-70.5,260.7481994628906,-0.3085673013987051,0.23740088939666748,10.200805806520318,17.26376724243164,5.918497333958865,6.0985260009765625,9.046390621088655,13.575088500976562,95181.6953125,9.965240478515625,68.0581627369265,70.90914154052734,182.790832017682,298.4236145019531,0.0,31195066764.282684
2816.0,True,1000082.5370644489,1000082.5370644489,29695.669231948516,3711.9586539935644,3.0,1995-06-15 03:00:00,1995-06-15 03:00:00,-71.0,260.0804138183594,-0.35338138993217666,1.089126706123352,10.981070190590593,17.961196899414062,5.950127094137716,6.551030158996582,9.371729710125026,14.369389533996582,95154.0078125,8.814056396484375,76.26650881797161,94.72543334960938,207.44936881562433,326.1188659667969,0.0,120822358983.2088
2820.0,True,571621.9704803745,545134.5481131586,5973.556097390356,2986.778048695178,12.0,1995-06-20 00:00:00,1995-06-20 09:00:00,-66.0,270.8309326171875,3.002341536805749,6.18243932723999,11.043434292950476,15.164860725402832,12.399735837202405,13.999998092651367,15.94358245876225,19.84821891784668,97828.578125,7.807098388671875,150.22498135423038,173.922119140625,260.9327868910245,383.5268249511719,0.0,201797227011.66724
2822.0,True,926264.4627158908,885851.4427267992,29798.026407715024,11174.259902893133,9.0,1995-06-21 09:00:00,1995-06-21 15:00:00,-79.0,265.86407470703125,8.656037931295876,19.810983657836914,13.318109379976372,19.810983657836914,4.805042852833538,6.944724082946777,10.727167813176436,15.613868713378906,96247.953125,21.146743774414062,107.02266679614497,157.88380432128906,231.4852628146409,379.7476501464844,0.0,552085405269.1067
2823.0,True,2072850.2113902676,1865644.3062324019,1641452.01361019,1025907.508506369,30.0,1995-06-24 12:00:00,1995-06-25 15:00:00,-85.0,269.3849182128906,3.480723961461011,13.109640121459961,3.6837816028524744,13.109640121459961,1.3616394529608782,9.40196418762207,2.474537357316219,13.93712043762207,98264.859375,30.439804077148438,24.24237568037185,192.62835693359375,45.13401582084446,305.371826171875,0.0,10124415298774.793
2832.0,True,968957.7849511853,830054.5528213271,28935.59070918324,61488.13025701438,51.0,1995-07-03 03:00:00,1995-07-05 03:00:00,-69.0,265.8638000488281,-4.795792744522159,2.9432711601257324,10.765998147505234,19.544252395629883,4.4853635739828315,7.624141216278076,16.627598280118153,31.229284286499023,96080.0546875,21.307449340820312,69.03134725977752,141.04483032226562,382.55745560644283,794.4774169921875,0.0,1639265520521.947
